Name,Date,Source
7Vstup. Chrest.,1350-1396,Porák p. 135
Alb.,1383,Gebauer p. 614
AlxV.,1400-1450,Gebauer p. 614
BartD.,1895,Gebauer p. 615
Ben.,1506,Gebauer p. 616
BílQ.,,
Boh.,1379,Gebauer p. 616
Br.,1579-1593,Gebauer p. 616
Brit.,~1400,Gebauer p. 616
ChirB.,1440,Gebauer p. 620
chod.,,Gebauer p. 620
chrom.,,
Ctib. Jg.,,Gebauer p. 620
DalC.,1300-1400,Gebauer p. 617
DalH.,1300-1350,Gebauer p. 617
DalJ.,1300-1400,Gebauer p. 617
EvOl.,1421,Gebauer p. 618
Háj.,1541,Gebauer p. 618
HomOp.,1250-1300,Gebauer p. 619
Hrad.,1300-1375,Gebauer p. 619
HusPost.,1414,Gebauer p. 619
HusŠal.,1448,Gebauer p. 619
Kladr.,1450-1500,Gebauer p. 620
KolAO.,specified with attestation,Gebauer p. 621
KolB.,specified with attestation,Gebauer p. 621
KolEE.,specified with attestation,Gebauer p. 621
Kom. Lab.,1871,Gebauer p. 621
Kosm2.,1340-1342,Gebauer p. 621
KosmA.,1154,Gebauer p. 621
Kotsm.,1868,Gebauer p. 621
Krist.,1300-1400,Gebauer p. 621
Kruml.,1400-1418,Gebauer p. 621
Lact.,1511,Gebauer p. 621
LegJid. Chrest.,1300-1350,Porák p. 35
LegKat. Chrest.,1350-1400,Porák p. 106
Litom. Chrest.,1200-1250,Porák p. 31
Lobk.,1515,Gebauer p. 622
MamA.,1400-1450,Gebauer p. 623
MarPolo Chrest. 52b,1450-1500,Porák p. 147
Mast.,~1350,Gebauer p. 623
Mast. Chrest.,1340-1350,Porák p. 72
Mat. Chrest.,1350-1400,Porák p. 132
MěstKnih. Chrest.,specified with attestation,Porák p. 165
Modl.,1300-1400,Gebauer p. 623
MVerb.,1200-1300,Gebauer p. 623
Nom.,~1400,Gebauer p. 624
NRada,1394-1395,Gebauer p. 624
Ol.,1417,Gebauer p. 624
Otc.,1400-1500,Gebauer p. 624
OtcB.,~1450,Gebauer p. 624
OtcB. Chrest.,1400-1450,Porák p. 140
PomNy Chrest.,1380-1390,Porák p. 33
PráZem. Chrest.,~1400,Porák p. 157
Pref.,1563,Gebauer p. 625
Prešp.,1350-1400,Gebauer p. 625
Pror.,1350-1400,Gebauer p. 626
Pulk.,~1400,Gebauer p. 626
Rozk.,1344-1364,Gebauer p. 626
Rúd.,1350-1400,Gebauer p. 627
Štít. ř.,1392,Gebauer p. 628
Štít. uč.,1376,Gebauer p. 628
Suš.,1882,Gebauer p. 628
SvVác. Chrest.,1380-1390,Porák p. 34
Tkad. Chrest.,1450-1500,Porák p. 149
Trist.,1449,Gebauer p. 629
Troj. Chrest.,1469,Porák p. 142
Troj. Jg.,1488,Gebauer p. 629
Urb. Hrad.,~1400,Gebauer p. 629
Vel.,1578,Gebauer p. 629
VelKal.,1578,Gebauer p. 629
Vít.,1380-1400,Gebauer p. 629
Vocab.,1394-1398,Gebauer p. 629
Zdik.,1424,Gebauer p. 630
ŽGloss.,1250-1300,Gebauer p. 630
Živ. Chrest.,~1450,Porák p. 160
ŽKlem.,1300-1350,Gebauer p. 630
ŽWittb.,1334-1366,Gebauer p. 630